Unnamed: 0,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
1450,CHEMBL3647967,20.6,nM,C=CC(=O)N[C@H]1CC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)CC1,7.686132779630847,454.211724072,7,2,4.653700000000003,True
4782,CHEMBL3393072,8490.0,nM,O=C(Cc1c[nH]c2ccccc12)NNC(=S)Nc1ncccc1Br,5.071092309756047,403.010243168,3,4,2.8857,True
640,CHEMBL225928,4.4,nM,CN(CCCl)CCN/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,8.356547323513812,417.123549032,6,2,4.785700000000004,True
5423,CHEMBL77085,96000.0,nM,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],4.017728766960432,215.03309102,5,1,1.73096,True
3336,CHEMBL3676390,589.0,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)CC,6.229884705212898,501.0811798520001,6,3,4.304500000000004,True
4695,CHEMBL101683,7300.0,nM,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,5.136677139879544,337.09818981200004,3,2,4.599400000000003,True
1758,CHEMBL1683961,34.0,nM,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#CCCCN1CCOCC1,7.468521082957745,494.188482036,6,1,5.364020000000005,True
4856,CHEMBL525527,9700.0,nM,COc1cc2nc(Cl)nc(Nc3ccc(S(=O)(=O)Nc4nccs4)cc3)c2cc1OC,5.013228265733755,477.033223672,9,2,4.301300000000003,True
3240,CHEMBL3604921,500.0,nM,C=CC(=O)Nc1cccc(Oc2nc(Nc3cc(C)[nH]n3)cc(N3CCN(C)CC3)n2)c1,6.301029995663981,434.2178720720001,8,3,2.920320000000001,True
4498,CHEMBL364623,5200.0,nM,Cc1cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)nc(C)n1,5.2839966563652006,373.07640881200007,6,2,4.507660000000002,True
5200,CHEMBL280998,26043.0,nM,Oc1ccccc1O,4.584308989059276,110.036779432,2,2,1.0978,True
4714,CHEMBL107472,7500.0,nM,CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,5.1249387366083,334.038816364,5,1,3.344000000000001,True
